searge,name,side,desc
AbstractArrowEntity.field_184552_b,field_184552_b,2,
AbstractArrowEntity.field_184554_g,field_184554_g,2,
AbstractArrowEntity.field_195056_av,field_195056_av,2,
AbstractArrowEntity.field_212362_a,field_212362_a,2,
AbstractArrowEntity.field_213875_aA,field_213875_aA,2,
AbstractArrowEntity.field_213876_as,field_213876_as,2,
AbstractArrowEntity.field_213877_ay,field_213877_ay,2,
AbstractArrowEntity.field_213878_az,field_213878_az,2,
AbstractArrowEntity.field_70249_b,field_70249_b,2,
AbstractArrowEntity.field_70250_c,field_70250_c,2,
AbstractArrowEntity.field_70251_a,field_70251_a,2,
AbstractArrowEntity.field_70252_j,field_70252_j,2,
AbstractArrowEntity.field_70254_i,field_70254_i,2,
AbstractArrowEntity.field_70255_ao,field_70255_ao,2,
AbstractArrowEntity.field_70256_ap,field_70256_ap,2,
AbstractArrowEntity.field_70257_an,field_70257_an,2,
AbstractAttributeMap.field_111153_b,field_111153_b,2,
AbstractAttributeMap.field_111154_a,field_111154_a,2,
AbstractAttributeMap.field_180377_c,field_180377_c,2,
AbstractBannerBlock.field_196286_a,field_196286_a,2,
AbstractButtonBlock.field_150047_a,field_150047_a,2,
AbstractButtonBlock.field_176584_b,field_176584_b,2,
AbstractButtonBlock.field_185622_d,field_185622_d,2,
AbstractButtonBlock.field_185623_D,field_185623_D,2,
AbstractButtonBlock.field_185624_e,field_185624_e,2,
AbstractButtonBlock.field_185625_E,field_185625_E,2,
AbstractButtonBlock.field_185626_f,field_185626_f,2,
AbstractButtonBlock.field_185627_F,field_185627_F,2,
AbstractButtonBlock.field_185628_g,field_185628_g,2,
AbstractButtonBlock.field_185629_G,field_185629_G,2,
AbstractButtonBlock.field_196370_b,field_196370_b,2,
AbstractButtonBlock.field_196371_c,field_196371_c,2,
AbstractButtonBlock.field_196372_E,field_196372_E,2,
AbstractButtonBlock.field_196373_F,field_196373_F,2,
AbstractButtonBlock.field_196374_G,field_196374_G,2,
AbstractButtonBlock.field_196375_H,field_196375_H,2,
AbstractButtonBlock.field_196376_y,field_196376_y,2,
AbstractButtonBlock.field_196377_z,field_196377_z,2,
AbstractChestedHorseEntity.field_190698_bG,field_190698_bG,2,
AbstractChunkRenderContainer.field_178005_d,field_178005_d,0,
AbstractChunkRenderContainer.field_178006_e,field_178006_e,0,
AbstractChunkRenderContainer.field_178007_b,field_178007_b,0,
AbstractChunkRenderContainer.field_178008_c,field_178008_c,0,
AbstractChunkRenderContainer.field_178009_a,field_178009_a,0,
AbstractClientPlayerEntity.field_175157_a,field_175157_a,0,
AbstractClientPlayerEntity.field_184835_a,field_184835_a,0,
AbstractClientPlayerEntity.field_184836_b,field_184836_b,0,
AbstractClientPlayerEntity.field_184837_c,field_184837_c,0,
AbstractClientPlayerEntity.field_213837_d,field_213837_d,0,
AbstractCommandBlockScreen.field_195237_a,field_195237_a,0,
AbstractCommandBlockScreen.field_195238_s,field_195238_s,0,
AbstractCommandBlockScreen.field_195239_f,field_195239_f,0,
AbstractCommandBlockScreen.field_195240_g,field_195240_g,0,
AbstractCommandBlockScreen.field_195241_h,field_195241_h,0,
AbstractCommandBlockScreen.field_195242_i,field_195242_i,0,
AbstractCommandBlockScreen.field_209111_t,field_209111_t,0,
AbstractCommandBlockScreen.field_209112_u,field_209112_u,0,
AbstractCommandBlockScreen.field_209113_v,field_209113_v,0,
AbstractCommandBlockScreen.field_209114_w,field_209114_w,0,
AbstractCommandBlockScreen.field_209115_x,field_209115_x,0,
AbstractCommandBlockScreen.field_209116_y,field_209116_y,0,
AbstractCommandBlockScreen.field_212342_z,field_212342_z,0,
AbstractCommandBlockScreen$SuggestionsList.field_209135_b,field_209135_b,0,
AbstractCommandBlockScreen$SuggestionsList.field_209136_c,field_209136_c,0,
AbstractCommandBlockScreen$SuggestionsList.field_209138_e,field_209138_e,0,
AbstractCommandBlockScreen$SuggestionsList.field_209139_f,field_209139_f,0,
AbstractCommandBlockScreen$SuggestionsList.field_209140_g,field_209140_g,0,
AbstractCommandBlockScreen$SuggestionsList.field_209141_h,field_209141_h,0,
AbstractCommandBlockScreen$SuggestionsList.field_212467_d,field_212467_d,0,
AbstractCookingRecipe.field_222139_a,field_222139_a,2,
AbstractCookingRecipe.field_222140_b,field_222140_b,2,
AbstractCookingRecipe.field_222141_c,field_222141_c,2,
AbstractCookingRecipe.field_222142_d,field_222142_d,2,
AbstractCookingRecipe.field_222143_e,field_222143_e,2,
AbstractCookingRecipe.field_222144_f,field_222144_f,2,
AbstractCookingRecipe.field_222145_g,field_222145_g,2,
AbstractCoralPlantBlock.field_212559_a,field_212559_a,2,
AbstractCoralPlantBlock.field_212560_b,field_212560_b,2,
AbstractFireballEntity.field_213899_f,field_213899_f,2,
AbstractFishEntity.field_203711_b,field_203711_b,2,
AbstractFishEntity$MoveHelperController.field_203781_i,field_203781_i,2,
AbstractFishEntity$SwimGoal.field_203788_h,field_203788_h,2,
AbstractFurnaceBlock.field_220090_a,field_220090_a,2,
AbstractFurnaceBlock.field_220091_b,field_220091_b,2,
AbstractFurnaceContainer.field_217062_c,field_217062_c,2,
AbstractFurnaceContainer.field_217063_d,field_217063_d,2,
AbstractFurnaceContainer.field_217064_e,field_217064_e,2,
AbstractFurnaceContainer.field_217065_f,field_217065_f,2,
AbstractFurnaceScreen.field_214088_k,field_214088_k,0,
AbstractFurnaceScreen.field_214089_l,field_214089_l,0,
AbstractFurnaceScreen.field_214090_m,field_214090_m,0,
AbstractFurnaceScreen.field_214091_n,field_214091_n,0,
AbstractFurnaceTileEntity.field_214012_a,field_214012_a,2,
AbstractFurnaceTileEntity.field_214013_b,field_214013_b,2,
AbstractFurnaceTileEntity.field_214014_c,field_214014_c,2,
AbstractFurnaceTileEntity.field_214015_g,field_214015_g,2,
AbstractFurnaceTileEntity.field_214016_h,field_214016_h,2,
AbstractFurnaceTileEntity.field_214017_i,field_214017_i,2,
AbstractFurnaceTileEntity.field_214018_j,field_214018_j,2,
AbstractFurnaceTileEntity.field_214019_k,field_214019_k,2,
AbstractFurnaceTileEntity.field_214020_l,field_214020_l,2,
AbstractFurnaceTileEntity.field_214021_m,field_214021_m,2,
AbstractFurnaceTileEntity.field_214022_n,field_214022_n,2,
AbstractGroupFishEntity.field_212813_a,field_212813_a,2,
AbstractGroupFishEntity.field_212814_b,field_212814_b,2,
AbstractGroupFishEntity$GroupData.field_212822_a,field_212822_a,2,
AbstractHorseEntity.field_110271_bv,field_110271_bv,2,
AbstractHorseEntity.field_110274_bs,field_110274_bs,2,
AbstractHorseEntity.field_110275_br,field_110275_br,2,
AbstractHorseEntity.field_110276_bu,field_110276_bu,2,
AbstractHorseEntity.field_110277_bt,field_110277_bt,2,
AbstractHorseEntity.field_110278_bp,field_110278_bp,2,
AbstractHorseEntity.field_110279_bq,field_110279_bq,2,
AbstractHorseEntity.field_110281_bL,field_110281_bL,2,
AbstractHorseEntity.field_110282_bM,field_110282_bM,2,
AbstractHorseEntity.field_110283_bJ,field_110283_bJ,2,
AbstractHorseEntity.field_110284_bK,field_110284_bK,2,
AbstractHorseEntity.field_110285_bP,field_110285_bP,2,
AbstractHorseEntity.field_110287_bN,field_110287_bN,2,
AbstractHorseEntity.field_110288_bO,field_110288_bO,2,
AbstractHorseEntity.field_110290_bE,field_110290_bE,2,
AbstractHorseEntity.field_110294_bI,field_110294_bI,2,
AbstractHorseEntity.field_110295_bF,field_110295_bF,2,
AbstractHorseEntity.field_110296_bG,field_110296_bG,2,
AbstractHorseEntity.field_184787_bE,field_184787_bE,2,
AbstractHorseEntity.field_184790_bH,field_184790_bH,2,
AbstractHorseEntity.field_190688_bE,field_190688_bE,2,
AbstractHorseEntity.field_190689_bJ,field_190689_bJ,2,
AbstractHorseEntity.field_213618_bK,field_213618_bK,2,
AbstractHorseRenderer.field_191360_j,field_191360_j,0,
AbstractList$SimpleArrayList.field_216871_b,field_216871_b,0,
AbstractMinecartEntity.field_184265_a,field_184265_a,2,
AbstractMinecartEntity.field_184266_b,field_184266_b,2,
AbstractMinecartEntity.field_184267_c,field_184267_c,2,
AbstractMinecartEntity.field_184268_d,field_184268_d,2,
AbstractMinecartEntity.field_184269_e,field_184269_e,2,
AbstractMinecartEntity.field_184270_f,field_184270_f,2,
AbstractMinecartEntity.field_70499_f,field_70499_f,2,
AbstractMinecartEntity.field_70500_g,field_70500_g,2,
AbstractMinecartEntity.field_70506_as,field_70506_as,0,
AbstractMinecartEntity.field_70507_ar,field_70507_ar,0,
AbstractMinecartEntity.field_70508_aq,field_70508_aq,0,
AbstractMinecartEntity.field_70509_j,field_70509_j,2,
AbstractMinecartEntity.field_70510_h,field_70510_h,2,
AbstractMinecartEntity.field_70511_i,field_70511_i,2,
AbstractMinecartEntity.field_70512_ao,field_70512_ao,2,
AbstractMinecartEntity.field_70513_ap,field_70513_ap,2,
AbstractMinecartEntity.field_70514_an,field_70514_an,2,
AbstractOption.field_216677_A,field_216677_A,0,
AbstractOption.field_216678_B,field_216678_B,0,
AbstractOption.field_216679_C,field_216679_C,0,
AbstractOption.field_216680_D,field_216680_D,0,
AbstractOption.field_216681_E,field_216681_E,0,
AbstractOption.field_216682_F,field_216682_F,0,
AbstractOption.field_216683_G,field_216683_G,0,
AbstractOption.field_216684_H,field_216684_H,0,
AbstractOption.field_216685_I,field_216685_I,0,
AbstractOption.field_216686_J,field_216686_J,0,
AbstractOption.field_216687_K,field_216687_K,0,
AbstractOption.field_216688_L,field_216688_L,0,
AbstractOption.field_216689_M,field_216689_M,0,
AbstractOption.field_216690_N,field_216690_N,0,
AbstractOption.field_216691_O,field_216691_O,0,
AbstractOption.field_216692_P,field_216692_P,0,
AbstractOption.field_216693_Q,field_216693_Q,0,
AbstractOption.field_216694_a,field_216694_a,0,
AbstractOption.field_216695_b,field_216695_b,0,
AbstractOption.field_216696_c,field_216696_c,0,
AbstractOption.field_216697_d,field_216697_d,0,
AbstractOption.field_216698_e,field_216698_e,0,
AbstractOption.field_216699_f,field_216699_f,0,
AbstractOption.field_216700_g,field_216700_g,0,
AbstractOption.field_216701_h,field_216701_h,0,
AbstractOption.field_216702_i,field_216702_i,0,
AbstractOption.field_216703_j,field_216703_j,0,
AbstractOption.field_216704_k,field_216704_k,0,
AbstractOption.field_216705_l,field_216705_l,0,
AbstractOption.field_216706_m,field_216706_m,0,
AbstractOption.field_216707_n,field_216707_n,0,
AbstractOption.field_216708_o,field_216708_o,0,
AbstractOption.field_216709_p,field_216709_p,0,
AbstractOption.field_216710_q,field_216710_q,0,
AbstractOption.field_216711_r,field_216711_r,0,
AbstractOption.field_216712_s,field_216712_s,0,
AbstractOption.field_216713_t,field_216713_t,0,
AbstractOption.field_216714_u,field_216714_u,0,
AbstractOption.field_216715_v,field_216715_v,0,
AbstractOption.field_216716_w,field_216716_w,0,
AbstractOption.field_216717_x,field_216717_x,0,
AbstractOption.field_216718_y,field_216718_y,0,
AbstractOption.field_216719_z,field_216719_z,0,
AbstractOptionList$Entry.field_214380_a,field_214380_a,0,
AbstractOptionList$Entry.field_214381_b,field_214381_b,0,
AbstractPressurePlateBlock.field_185509_a,field_185509_a,2,
AbstractPressurePlateBlock.field_185510_b,field_185510_b,2,
AbstractPressurePlateBlock.field_185511_c,field_185511_c,2,
AbstractRaiderEntity$CelebrateRaidLossGoal.field_220858_b,field_220858_b,2,
AbstractRaiderEntity.field_213664_bB,field_213664_bB,2,
AbstractRaiderEntity.field_213665_b,field_213665_b,2,
AbstractRaiderEntity.field_213666_c,field_213666_c,2,
AbstractRaiderEntity.field_213667_d,field_213667_d,2,
AbstractRaiderEntity.field_213668_bz,field_213668_bz,2,
AbstractRaiderEntity.field_213669_bA,field_213669_bA,2,
AbstractRaiderEntity$FindTargetGoal.field_220851_a,field_220851_a,2,
AbstractRaiderEntity$FindTargetGoal.field_220853_c,field_220853_c,2,
AbstractRaiderEntity$FindTargetGoal.field_220854_d,field_220854_d,2,
AbstractRaiderEntity$InvadeHomeGoal.field_220864_a,field_220864_a,2,
AbstractRaiderEntity$InvadeHomeGoal.field_220865_b,field_220865_b,2,
AbstractRaiderEntity$InvadeHomeGoal.field_220866_c,field_220866_c,2,
AbstractRaiderEntity$InvadeHomeGoal.field_220867_d,field_220867_d,2,
AbstractRaiderEntity$InvadeHomeGoal.field_220868_e,field_220868_e,2,
AbstractRaiderEntity$InvadeHomeGoal.field_220869_f,field_220869_f,2,
AbstractRaiderEntity$PromoteLeaderGoal.field_220856_b,field_220856_b,2,
AbstractRailBlock.field_185590_a,field_185590_a,2,
AbstractRailBlock.field_190959_b,field_190959_b,2,
AbstractRailBlock.field_196277_c,field_196277_c,2,
AbstractRecipeBookGui.field_212964_i,field_212964_i,0,
AbstractRecipeBookGui.field_212965_j,field_212965_j,0,
AbstractRecipeBookGui.field_212966_k,field_212966_k,0,
AbstractRecipeBookGui.field_212967_l,field_212967_l,0,
