searge,name,side,desc
func_100011_g,getIsPotionDurationMax,0,
func_100012_b,setPotionDurationMax,0,
func_104002_bU,isNoDespawnRequired,2,
func_104055_i,setForceGamemode,2,
func_104056_am,getForceGamemode,2,
func_110121_a,isNotEmpty,0,
func_110124_au,getUniqueID,2,
func_110128_b,onBroken,2,
func_110131_b,removeItem,2,
func_110132_b,removeListener,2,
func_110134_a,addListener,2,
func_110138_aP,getMaxHealth,2,
func_110139_bj,getAbsorptionAmount,2,
func_110140_aT,getAttributes,2,
func_110142_aN,getCombatTracker,2,
func_110143_aJ,getHealth,2,
func_110144_aD,getLastAttackedEntity,2,
func_110145_l,dismountEntity,2,
func_110146_f,updateDistance,2,
func_110147_ax,registerAttributes,2,
func_110148_a,getAttribute,2,
func_110149_m,setAbsorptionAmount,2,
func_110159_bB,updateLeashedState,2,
func_110160_i,clearLeashed,2,
func_110162_b,setLeashHolder,2,
func_110163_bv,enablePersistence,2,
func_110165_bF,recreateLeash,2,
func_110166_bE,getLeashHolder,2,
func_110167_bD,getLeashed,2,
func_110182_bF,isAttacking,0,
func_110195_a,addGrowth,2,
func_110198_t,increaseTemper,2,
func_110199_f,openGUI,2,
func_110200_cJ,canMate,2,
func_110201_q,getMouthOpennessAngle,0,
func_110202_bQ,getHorseVariant,2,
func_110203_cN,getModifiedMovementSpeed,2,
func_110204_cc,isEatingHaystack,2,
func_110205_ce,isBreeding,2,
func_110206_u,setJumpPower,0,
func_110207_m,setChested,2,
func_110208_b,setHorseWatchableBoolean,2,
func_110209_cd,isRearing,2,
func_110210_cH,moveTail,2,
func_110212_cp,getVariantTexturePaths,0,
func_110215_cj,getHorseJumpStrength,2,
func_110216_r,spawnHorseParticles,0,
func_110219_q,setRearing,2,
func_110220_cK,makeHorseRear,2,
func_110223_p,getRearingAmount,0,
func_110226_cD,initHorseChest,2,
func_110227_p,setEatingHaystack,2,
func_110230_cF,resetTexturePrefix,2,
func_110232_cE,updateHorseSlots,2,
func_110233_w,getHorseWatchableBoolean,2,
func_110234_j,setHorseTamed,2,
func_110235_q,setHorseVariant,2,
func_110237_h,mountTo,2,
func_110238_s,setTemper,2,
func_110242_l,setBreeding,2,
func_110245_cM,getModifiedJumpStrength,2,
func_110246_bZ,isHorseJumping,2,
func_110247_cG,setHorseTexturePaths,0,
func_110248_bS,isTame,2,
func_110249_cI,openHorseMouth,2,
func_110251_o,setHorseSaddled,2,
func_110252_cg,getTemper,2,
func_110255_k,setHorseJumping,2,
func_110257_ck,isHorseSaddled,2,
func_110258_o,getGrassEatingAmount,0,
func_110263_g,setTamedBy,2,
func_110264_co,getHorseTexture,0,
func_110266_cB,eatingHorse,2,
func_110267_cL,getModifiedMaxHealth,2,
func_110297_a_,verifySellingItem,2,
func_110303_q,getLocationCape,0,
func_110304_a,getDownloadImageSkin,0,
func_110306_p,getLocationSkin,0,
func_110311_f,getLocationSkin,0,
func_110317_t,isRidingHorse,0,
func_110318_g,sendHorseJump,0,
func_110319_bJ,getHorseJumpPower,0,
func_110326_a,setOverlayMessage,0,
func_110430_a,setEntityActionState,2,
func_110432_I,getSession,0,
func_110434_K,getTextureManager,0,
func_110437_J,getProxy,0,
func_110455_j,getOpPermissionLevel,2,
func_110468_c,getFrameIndex,0,
func_110469_d,getFrameTime,0,
func_110471_a,getFrameHeight,0,
func_110472_a,getFrameTimeSingle,0,
func_110473_c,getFrameCount,0,
func_110474_b,getFrameWidth,0,
func_110479_a,getTextureBlur,0,
func_110480_b,getTextureClamp,0,
func_110483_a,getSectionName,0,
func_110492_a,parseAnimationFrame,0,
func_110495_a,hasNoTime,0,
func_110496_c,getFrameIndex,0,
func_110497_b,getFrameTime,0,
func_110550_d,tick,0,
func_110552_b,getGlTextureId,0,
func_110564_a,updateDynamicTexture,0,
func_110572_b,getAtlasSprite,0,
func_110577_a,bindTexture,0,
func_110578_a,getDynamicTextureLocation,0,
func_110579_a,loadTexture,0,
func_110580_a,loadTickableTexture,0,
func_110581_b,getTexture,0,
func_110623_a,getPath,2,
func_110624_b,getNamespace,2,
func_110646_a,getTextWithoutFormattingCodes,2,
func_110647_a,getOSType,2,
func_110738_j,isRidingHorse,0,
func_110775_a,getEntityTexture,0,
func_110776_a,bindTexture,0,
func_110827_b,renderLeash,0,
func_110934_a,addSprite,0,
func_110935_a,getCurrentWidth,0,
func_110936_b,getCurrentHeight,0,
func_110970_k,getFrameCount,0,
func_111104_a,setRandomEffect,2,
func_111108_a,getName,2,
func_111109_a,clampValue,2,
func_111110_b,getDefaultValue,2,
func_111111_c,getShouldWatch,2,
func_111112_a,setShouldWatch,2,
func_111116_f,getDescription,2,
func_111117_a,setDescription,2,
func_111121_a,applyModifier,2,
func_111122_c,getModifiers,2,
func_111123_a,getAttribute,2,
func_111124_b,removeModifier,2,
func_111125_b,getBaseValue,2,
func_111126_e,getValue,2,
func_111127_a,getModifier,2,
func_111128_a,setBaseValue,2,
func_111129_g,computeValue,2,
func_111131_f,flagForUpdate,2,
func_111146_a,getAllAttributes,2,
func_111147_b,applyAttributeModifiers,2,
func_111148_a,removeAttributeModifiers,2,
func_111150_b,registerAttribute,2,
func_111151_a,getAttributeInstance,2,
func_111152_a,getAttributeInstanceByName,2,
func_111160_c,getWatchedAttributes,2,
func_111161_b,getDirtyInstances,2,
func_111164_d,getAmount,2,
func_111165_e,isSaved,2,
func_111166_b,getName,2,
func_111167_a,getID,2,
func_111168_a,setSaved,2,
func_111175_f,getTargetDistance,2,
func_111183_a,getAttributeModifierAmount,2,
func_111185_a,applyAttributesModifiersToEntity,2,
func_111186_k,getAttributeModifierMap,0,
func_111187_a,removeAttributesModifiersFromEntity,2,
func_111205_h,getAttributeModifiers,2,
func_111207_a,itemInteractionForEntity,2,
func_111225_m,getRelevantEnchantmentTypes,2,
func_111226_a,hasRelevantEnchantmentType,2,
func_111229_a,setRelevantEnchantmentTypes,2,
func_111238_b,isEnabled,0,
func_111257_a,writeAttributes,2,
func_111258_a,readAttribute,2,
func_111259_a,readAttributeModifier,2,
func_111261_a,writeAttribute,2,
func_111262_a,writeAttributeModifier,2,
func_111269_d,getPathSearchRange,2,
func_111270_a,union,2,
func_111282_a,interactWithEntity,2,
func_111283_C,getAttributeModifiers,2,
func_111285_a,getUsername,0,
func_111286_b,getSessionID,0,
func_120011_ar,setGuiEnabled,2,
func_120018_d,getLogComponent,2,
func_120019_b,getStatsComponent,2,
func_120020_c,getPlayerListComponent,2,
func_120034_a,tick,2,
func_120035_a,mean,2,
func_130001_d,getCurrentMoonPhaseFactor,2,
func_130011_c,setLastAttackedEntity,2,
func_130014_f_,getEntityWorld,2,
func_130072_d,getAnimationFrame,0,
func_130073_e,getFrameIndexSet,0,
func_130098_m,hasAnimationMetadata,0,
func_130103_l,clearFramesTextureData,0,
func_130105_g,getMinecraftStartTimeMillis,2,
func_135016_M,getLanguageManager,0,
func_135018_a,getLanguages,0,
func_135021_a,loadLocaleData,0,
func_135023_a,formatMessage,0,
func_135026_c,translateKeyPrivate,0,
func_135028_a,loadLocaleData,0,
func_135035_b,isBidirectional,0,
func_135040_d,getLanguages,0,
func_135041_c,getCurrentLanguage,0,
func_135043_a,parseLanguageMetadata,0,
func_135044_b,isCurrentLanguageBidirectional,0,
func_135045_a,setCurrentLanguage,0,
func_135051_a,setLocale,0,
func_135052_a,format,0,
func_135063_a,replaceWith,0,
func_135064_c,tryTranslateKey,2,
func_135074_t,clearCustomName,2,
func_140005_i,switchToRealms,0,
func_142008_O,shouldSetPosAfterLoading,2,
func_142013_aG,getLastAttackedEntityTime,2,
func_142015_aE,getRevengeTimer,2,
func_142017_o,onLeashDistance,2,
func_142018_a,shouldAttackEntity,2,
func_142021_k,getServerBrand,0,
func_142049_d,removeAllModifiers,0,
func_142054_a,isSameTeam,2,
func_143004_u,markPlayerActive,2,
func_143006_e,setPlayerIdleTimeout,2,
func_143007_ar,getMaxPlayerIdleMinutes,2,
func_143010_b,write,2,
func_143011_b,readAdditional,2,
func_143018_f,getChunkPosZ,2,
func_143019_e,getChunkPosX,2,
func_143021_a,write,2,
func_143025_a,getStructureName,2,
func_145747_a,sendMessage,0,
func_145748_c_,getDisplayName,2,
func_145749_h,getLastOutput,2,
func_145750_b,setLastOutput,2,
func_145752_a,setCommand,2,
func_145753_i,getCommand,2,
func_145755_a,trigger,2,
func_145756_e,updateCommand,2,
func_145759_b,read,2,
func_145760_g,getSuccessCount,2,
func_145769_d,setEntityId,2,
func_145770_h,isInRangeToRender3d,0,
func_145773_az,doesEntityNotTriggerPressurePlate,2,
func_145775_I,doBlockCollisions,2,
func_145782_y,getEntityId,2,
func_145806_a,setHurtEntities,2,
func_145807_e,getWorldObj,0,
func_145818_k_,hasCustomName,2,
func_145822_e,getCommandBlockLogic,2,
func_145828_a,addInfoToCrashReport,2,
func_145829_t,validate,2,
func_145830_o,hasWorld,2,
func_145831_w,getWorld,2,
func_145833_n,getMaxRenderDistanceSquared,0,
func_145834_a,setWorld,2,
func_145835_a,getDistanceSq,0,
func_145836_u,updateContainingBlockInfo,2,
func_145837_r,isRemoved,2,
func_145839_a,read,2,
func_145842_c,receiveClientEvent,2,
func_145843_s,remove,2,
func_145860_a,getProgress,2,
func_145866_f,clearPistonTileEntity,2,
func_145867_d,shouldPistonHeadBeRendered,2,
func_145868_b,isExtending,2,
func_145881_a,getSpawnerBaseLogic,2,
func_145883_k,transferItemsOut,2,
func_145884_b,getSourceInventory,2,
func_145888_j,isOnTransferCooldown,2,
func_145891_a,pullItems,2,
func_145893_b,getInventoryAtPosition,2,
func_145894_a,canCombine,2,
func_145895_l,getInventoryForHopperTransfer,2,
func_145896_c,setTransferCooldown,2,
func_145911_b,getPlayer,2,
func_145912_a,setPlayer,2,
func_145913_a,setEditable,0,
func_145914_a,getIsEditable,2,
func_145934_k,canBrew,2,
func_145940_l,brewPotions,2,
func_145969_a,openChest,2,
func_145970_b,closeChest,2,
func_145971_a,canBeUsed,2,
func_145993_a,getCommandBlockLogic,2,
func_145995_a,setOutputSignal,2,
func_145996_a,getOutputSignal,2,
func_146000_x,addEffectsToPlayers,2,
func_146017_i,getDispenseSlot,2,
func_146019_a,addItemStack,2,
func_146031_a,setChestTileEntity,2,
func_146034_e,handleHookRetraction,2,
func_146065_b,dropItemOrSelf,2,
func_146066_aG,canDropLoot,2,
func_146070_a,setBreakDoorsAItask,2,
func_146072_bX,isBreakDoorsTaskSet,2,
func_146077_cc,explode,2,
func_146078_ca,hasIgnited,2,
func_146079_cb,ignite,2,
func_146082_f,setInLove,2,
func_146094_a,getUUID,2,
func_146097_a,dropItem,2,
func_146103_bH,getGameProfile,2,
func_146105_b,sendStatusMessage,0,
func_146107_m,getStats,0,
func_146140_b,setSelected,0,
func_146141_c,isSelected,0,
func_146158_b,getChatGUI,0,
func_146175_b,deleteFromCursor,0,
func_146176_q,getVisible,0,
func_146177_a,deleteWords,0,
func_146178_a,tick,0,
func_146179_b,getText,0,
func_146180_a,setText,0,
func_146181_i,getEnableBackgroundDrawing,0,
func_146182_d,moveCursorBy,0,
func_146183_a,getNthWordFromPos,0,
func_146184_c,setEnabled,0,
func_146185_a,setEnableBackgroundDrawing,0,
func_146187_c,getNthWordFromCursor,0,
func_146188_c,drawSelectionBox,0,
func_146189_e,setVisible,0,
func_146190_e,setCursorPosition,0,
func_146191_b,writeText,0,
func_146193_g,setTextColor,0,
func_146195_b,setFocused2,0,
func_146196_d,setCursorPositionZero,0,
func_146197_a,getNthWordFromPosWS,0,
func_146198_h,getCursorPosition,0,
func_146199_i,setSelectionPos,0,
func_146200_o,getAdjustedWidth,0,
func_146202_e,setCursorPositionEnd,0,
func_146203_f,setMaxStringLength,0,
func_146204_h,setDisabledTextColour,0,
func_146205_d,setCanLoseFocus,0,
func_146207_c,getSelectedText,0,
func_146208_g,getMaxStringLength,0,
func_146227_a,printChatMessage,0,
func_146228_f,getChatWidth,0,
func_146230_a,render,0,
func_146231_a,clearChatMessages,0,
func_146232_i,getLineCount,0,
func_146234_a,printChatMessageWithOptionalDeletion,0,
func_146237_a,setChatLine,0,
func_146238_c,getSentMessages,0,
func_146239_a,addToSentMessages,0,
func_146240_d,resetScroll,0,
func_146241_e,getChatOpen,0,
func_146242_c,deleteChatLine,0,
func_146245_b,refreshChat,0,
func_146246_g,getChatHeight,0,
func_146314_g,calcSaveDirName,0,
func_146315_i,toggleMoreWorldOptions,0,
func_146316_a,showMoreWorldOptions,0,
func_146318_a,recreateFromExistingWorld,0,
func_146319_h,updateDisplayState,0,
func_146350_a,setButtonDelay,0,
func_146359_e,copyLinkToClipboard,0,
func_146367_a,connect,0,
func_146375_g,onLayersChanged,0,
func_146382_i,hasSelectedLayer,0,
func_146402_a,getSentHistory,0,
func_146418_g,wakeFromSleep,0,
func_146521_a,drawStatsScreen,0,
func_146527_c,drawSprite,0,
func_146574_g,sendRespawnPacket,0,
func_146575_b,drawWinGameScreen,0,
func_146586_a,setDoneWorking,0,
func_146595_g,updateDisplayNames,0,
func_146789_i,getOldServerPinger,0,
func_146791_a,connectToServer,0,
func_146792_q,refreshServerList,0,
func_146793_a,setHoveringText,0,
func_146795_p,getServerList,0,
func_146796_h,connectToSelected,0,
func_146976_a,drawGuiContainerBackgroundLayer,0,
func_146977_a,drawSlot,0,
func_146979_b,drawGuiContainerForegroundLayer,0,
func_146980_g,updateDragSplitting,0,
func_146982_a,drawItemStack,0,
func_147044_g,drawActivePotionEffects,0,
func_147046_a,drawEntityOnScreen,0,
func_147050_b,setCurrentCreativeTab,0,
func_147051_a,drawTab,0,
func_147052_b,renderCreativeInventoryHoveringText,0,
func_147053_i,updateCreativeSearch,0,
func_147055_p,needsScrollBars,0,
func_147056_g,getSelectedTabIndex,0,
func_147068_g,tickBook,0,
func_147096_v,getChatVisibility,2,
func_147097_b,sendTileEntityUpdate,2,
func_147099_x,getStats,2,
func_147100_a,handleClientSettings,2,
func_147104_D,getCurrentServerData,0,
func_147108_a,displayGuiScreen,0,
func_147109_W,getAmbientMusicType,0,
func_147110_a,getFramebuffer,0,
func_147111_S,isJava64bit,0,
func_147112_ai,middleClickMouse,0,
func_147113_T,isGamePaused,0,
func_147114_u,getConnection,0,
func_147115_a,sendClickBlockToController,0,
func_147116_af,clickMouse,0,
func_147117_R,getTextureMap,0,
func_147118_V,getSoundHandler,0,
func_147121_ag,rightClickMouse,0,
func_147122_X,isJvm64bit,0,
func_147130_as,getMinecraftSessionService,2,
func_147132_au,refreshStatusNextTick,2,
func_147133_T,getResourcePackUrl,2,
func_147134_at,getServerStatusResponse,2,
func_147135_j,getDifficulty,0,
func_147137_ag,getNetworkSystem,2,
func_147139_a,setDifficultyForAllWorlds,2,
func_147149_a,saveToFile,2,
func_147152_a,getStackTrace,2,
func_147223_a,pingPendingNetworks,0,
func_147224_a,ping,0,
func_147225_b,tryCompatibilityPing,0,
func_147226_b,clearPendingNetworks,0,
func_147231_a,onDisconnect,0,
func_147234_a,handleBlockChange,2,
func_147235_a,handleSpawnObject,0,
func_147236_a,handleEntityStatus,0,
func_147237_a,handleSpawnPlayer,0,
func_147238_a,handleDestroyEntities,0,
func_147239_a,handleConfirmTransaction,0,
func_147240_a,handleCustomPayload,0,
func_147241_a,handleWindowItems,0,
func_147242_a,handleEntityEquipment,2,
func_147243_a,handleEntityAttach,0,
func_147244_a,handleEntityVelocity,2,
func_147245_a,handleWindowProperty,0,
func_147246_a,handleCollectItem,2,
func_147247_a,handleTeams,2,
func_147249_a,handleUpdateHealth,0,
func_147250_a,handleUpdateScore,2,
func_147251_a,handleChat,0,
func_147252_a,handleChangeGameState,2,
func_147253_a,handleDisconnect,2,
func_147254_a,handleDisplayObjective,2,
func_147256_a,handlePlayerListItem,2,
func_147257_a,handleHeldItemChange,0,
func_147259_a,handleEntityMovement,2,
func_147260_a,handleEntityEffect,2,
func_147261_a,handleBlockAction,0,
func_147262_a,handleRemoveEntityEffect,2,
func_147263_a,handleChunkData,2,
func_147264_a,handleMaps,2,
func_147266_a,handleSetSlot,0,
func_147267_a,handleEntityHeadLook,0,
func_147268_a,handleSignEditorOpen,2,
func_147270_a,handlePlayerAbilities,0,
func_147271_a,handleSpawnPosition,0,
func_147272_a,handleKeepAlive,0,
func_147273_a,handleUpdateTileEntity,0,
func_147275_a,handleEntityTeleport,2,
func_147276_a,handleCloseWindow,0,
func_147277_a,handleEffect,0,
func_147279_a,handleAnimation,2,
func_147280_a,handleRespawn,2,
func_147281_a,handleSpawnMob,2,
func_147282_a,handleJoinGame,0,
func_147283_a,handleExplosion,2,
func_147284_a,handleEntityMetadata,0,
func_147285_a,handleTimeUpdate,2,
func_147286_a,handleSpawnExperienceOrb,2,
func_147287_a,handleMultiBlockChange,0,
func_147288_a,handleSpawnPainting,0,
func_147289_a,handleParticles,0,
func_147290_a,handleEntityProperties,2,
func_147291_a,handleScoreboardObjective,0,
func_147292_a,handleSpawnGlobalEntity,2,
func_147293_a,handleStatistics,0,
func_147294_a,handleBlockBreakAnim,2,
func_147295_a,handleSetExperience,0,
func_147296_c,cleanup,0,
func_147297_a,sendPacket,0,
func_147298_b,getNetworkManager,2,
func_147311_a,processPing,2,
func_147312_a,processServerQuery,2,
func_147315_a,processEncryptionResponse,2,
func_147316_a,processLoginStart,2,
func_147317_d,getConnectionInfo,2,
func_147326_c,tryAcceptPlayer,2,
